"age","sex","mx","location","sex_age_cat"
0,"male",0.00349562886042499,"Australia","male_0"
0,"female",0.0027843747440832,"Australia","female_0"
1,"male",0.000213594431165991,"Australia","male_1"
1,"female",0.000212729362988712,"Australia","female_1"
10,"male",5.44606279915525e-05,"Australia","male_10"
10,"female",5.76841727448693e-05,"Australia","female_10"
11,"male",6.05660503061614e-05,"Australia","male_11"
11,"female",5.32958130809244e-05,"Australia","female_11"
12,"male",9.35906669759228e-05,"Australia","male_12"
12,"female",8.43613521177944e-05,"Australia","female_12"
13,"male",0.000112315500598663,"Australia","male_13"
13,"female",0.000112266709777083,"Australia","female_13"
14,"male",0.000168748630287092,"Australia","male_14"
14,"female",0.00010755478864315,"Australia","female_14"
15,"male",0.000205111741309505,"Australia","male_15"
15,"female",0.000128205128205128,"Australia","female_15"
16,"male",0.00025057225284772,"Australia","male_16"
16,"female",0.000156810195513803,"Australia","female_16"
17,"male",0.000460504443306287,"Australia","male_17"
17,"female",0.000272041255647813,"Australia","female_17"
18,"male",0.000544191758776945,"Australia","male_18"
18,"female",0.000212158965747612,"Australia","female_18"
19,"male",0.000577492961180084,"Australia","male_19"
19,"female",0.000230711552881011,"Australia","female_19"
2,"male",0.000163408962353089,"Australia","male_2"
2,"female",0.000115347929282846,"Australia","female_2"
20,"male",0.000560711751028298,"Australia","male_20"
20,"female",0.000253937073973339,"Australia","female_20"
21,"male",0.000617593250754512,"Australia","male_21"
21,"female",0.000199537977014048,"Australia","female_21"
22,"male",0.000568441488296904,"Australia","male_22"
22,"female",0.000224401364678034,"Australia","female_22"
23,"male",0.000623450383440005,"Australia","male_23"
23,"female",0.000244887266431651,"Australia","female_23"
24,"male",0.000658263816158553,"Australia","male_24"
24,"female",0.000200814210343757,"Australia","female_24"
25,"male",0.000617092950281188,"Australia","male_25"
25,"female",0.000214077597686511,"Australia","female_25"
26,"male",0.000681432208087506,"Australia","male_26"
26,"female",0.000249899321136808,"Australia","female_26"
27,"male",0.000624617355515212,"Australia","male_27"
27,"female",0.000290682732204988,"Australia","female_27"
28,"male",0.000716587162105616,"Australia","male_28"
28,"female",0.000273820664794981,"Australia","female_28"
29,"male",0.000696983724909886,"Australia","male_29"
29,"female",0.000295391041064507,"Australia","female_29"
3,"male",0.000100875600209821,"Australia","male_3"
3,"female",0.000108903153066585,"Australia","female_3"
30,"male",0.000773842019621665,"Australia","male_30"
30,"female",0.000309348404509535,"Australia","female_30"
31,"male",0.000727226060359763,"Australia","male_31"
31,"female",0.000310309420331543,"Australia","female_31"
32,"male",0.000805209166501151,"Australia","male_32"
32,"female",0.000381462672031755,"Australia","female_32"
33,"male",0.000800017067030763,"Australia","male_33"
33,"female",0.000378123457308811,"Australia","female_33"
34,"male",0.000866392578082958,"Australia","male_34"
34,"female",0.000413571480110732,"Australia","female_34"
35,"male",0.00093030802931552,"Australia","male_35"
35,"female",0.000499675477670196,"Australia","female_35"
36,"male",0.00106008726306056,"Australia","male_36"
36,"female",0.000510626404222612,"Australia","female_36"
37,"male",0.00106948683264208,"Australia","male_37"
37,"female",0.000532714792268977,"Australia","female_37"
38,"male",0.00108958791324732,"Australia","male_38"
38,"female",0.000613768881917687,"Australia","female_38"
39,"male",0.00124447988594281,"Australia","male_39"
39,"female",0.000688398701537622,"Australia","female_39"
4,"male",8.9659964584314e-05,"Australia","male_4"
4,"female",6.04243950546949e-05,"Australia","female_4"
40,"male",0.00138652627570765,"Australia","male_40"
40,"female",0.000655335829272881,"Australia","female_40"
41,"male",0.00139082941699479,"Australia","male_41"
41,"female",0.000753183441551723,"Australia","female_41"
42,"male",0.00140332971869618,"Australia","male_42"
42,"female",0.000863855172802334,"Australia","female_42"
43,"male",0.00151591712986357,"Australia","male_43"
43,"female",0.000928813248007748,"Australia","female_43"
44,"male",0.00164837121235922,"Australia","male_44"
44,"female",0.00105423741426569,"Australia","female_44"
45,"male",0.00191519028871391,"Australia","male_45"
45,"female",0.00109425566343042,"Australia","female_45"
46,"male",0.00201522615315719,"Australia","male_46"
46,"female",0.00115076615760562,"Australia","female_46"
47,"male",0.0021735345271144,"Australia","male_47"
47,"female",0.00131439989667145,"Australia","female_47"
48,"male",0.00234207526542871,"Australia","male_48"
48,"female",0.00136341077431619,"Australia","female_48"
49,"male",0.00262260035175161,"Australia","male_49"
49,"female",0.00159994860892799,"Australia","female_49"
5,"male",7.08307024786698e-05,"Australia","male_5"
5,"female",5.55317054000312e-05,"Australia","female_5"
50,"male",0.00264907092544396,"Australia","male_50"
50,"female",0.00157935496460172,"Australia","female_50"
51,"male",0.00297351406347435,"Australia","male_51"
51,"female",0.00181460567222892,"Australia","female_51"
52,"male",0.00320484845229543,"Australia","male_52"
52,"female",0.00193927088620775,"Australia","female_52"
53,"male",0.00341485574136608,"Australia","male_53"
53,"female",0.00216252635239399,"Australia","female_53"
54,"male",0.00388285928143713,"Australia","male_54"
54,"female",0.00236922811109671,"Australia","female_54"
55,"male",0.0039728367828024,"Australia","male_55"
55,"female",0.00251270486396844,"Australia","female_55"
56,"male",0.00446309961518354,"Australia","male_56"
56,"female",0.00263288933150753,"Australia","female_56"
