"year","age","sex","join_variable","rate","age_cohort","location","assumption"
2019,17,"male","2019_17",0.000360064815556227,17,"Australia","high"
2020,18,"male","2020_18",0.000420088224703758,17,"Australia","high"
2021,19,"male","2021_19",0.000470110484619841,17,"Australia","high"
2022,20,"male","2022_20",0.000490120089230741,17,"Australia","high"
2023,21,"male","2023_21",0.000500125041682243,17,"Australia","high"
2024,22,"male","2024_22",0.000500125041682243,17,"Australia","high"
2025,23,"male","2025_23",0.000500125041682243,17,"Australia","high"
2026,24,"male","2026_24",0.000500125041682243,17,"Australia","high"
2027,25,"male","2027_25",0.000490120089230741,17,"Australia","high"
2028,26,"male","2028_26",0.000490120089230741,17,"Australia","high"
2029,27,"male","2029_27",0.000500125041682243,17,"Australia","high"
2030,28,"male","2030_28",0.00051013009423393,17,"Australia","high"
2031,29,"male","2031_29",0.000530140499645432,17,"Australia","high"
2032,30,"male","2032_30",0.000560156858563269,17,"Australia","high"
2033,31,"male","2033_31",0.000610186125694964,17,"Australia","high"
2034,32,"male","2034_32",0.000650211341586356,17,"Australia","high"
2035,33,"male","2035_33",0.00071025216936722,17,"Australia","high"
2036,34,"male","2036_34",0.000770296602265652,17,"Australia","high"
2037,35,"male","2037_35",0.000830344640714389,17,"Australia","high"
2038,36,"male","2038_36",0.00089039628514658,17,"Australia","high"
2039,37,"male","2039_37",0.000950451535995455,17,"Australia","high"
2040,38,"male","2040_38",0.00101051039369398,17,"Australia","high"
2041,39,"male","2041_39",0.00107057285867566,17,"Australia","high"
2042,40,"male","2042_40",0.00115066175739597,17,"Australia","high"
2043,41,"male","2043_41",0.00124076943613299,17,"Australia","high"
2044,42,"male","2044_42",0.00133088523499547,17,"Australia","high"
2045,43,"male","2045_43",0.00142100915544693,17,"Australia","high"
2046,44,"male","2046_44",0.00149111115388334,17,"Australia","high"
2047,45,"male","2047_45",0.00158124951633067,17,"Australia","high"
2048,46,"male","2048_46",0.00169142966097839,17,"Australia","high"
2049,47,"male","2049_47",0.00181164002926741,17,"Australia","high"
2050,48,"male","2050_48",0.0019418842373414,17,"Australia","high"
2051,49,"male","2051_49",0.00206212471844808,17,"Australia","high"
2052,50,"male","2052_50",0.00217235786165741,17,"Australia","high"
2053,51,"male","2053_51",0.00229262605988411,17,"Australia","high"
2054,52,"male","2054_52",0.00243295724170298,17,"Australia","high"
2055,53,"male","2055_53",0.00258333393560385,17,"Australia","high"
2056,54,"male","2056_54",0.00276381582273105,17,"Australia","high"
2057,55,"male","2057_55",0.00295435982643651,17,"Australia","high"
2058,56,"male","2058_56",0.00314494014407884,17,"Australia","high"
2059,57,"male","2059_57",0.00332552342857688,17,"Australia","high"
2060,58,"male","2060_58",0.00349610425670889,17,"Australia","high"
2061,59,"male","2061_59",0.00365667750354392,17,"Australia","high"
2062,60,"male","2062_60",0.00379720024838503,17,"Australia","high"
2063,61,"male","2063_61",0.00393774274264334,17,"Australia","high"
2064,62,"male","2064_62",0.00408834590860652,17,"Australia","high"
