"age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","deaths_rate_adaod","deaths_rate_allc","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_dmt2","deaths_rate_dprd","deaths_rate_espc","deaths_rate_hanc","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mltm","deaths_rate_npls","deaths_rate_prkd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_dmt2","ylds_rate_dprd","ylds_rate_espc","ylds_rate_hanc","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mltm","ylds_rate_npls","ylds_rate_prkd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_dmt2","dw_adj_dprd","dw_adj_espc","dw_adj_hanc","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mltm","dw_adj_npls","dw_adj_prkd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","dw_adj_rctc","ylds_rate_rctc","case_fatality_adaod","incidence_adaod","remission_adaod","case_fatality_bldc","incidence_bldc","remission_bldc","case_fatality_brsc","incidence_brsc","remission_brsc","case_fatality_carc","incidence_carc","remission_carc","case_fatality_chml","incidence_chml","remission_chml","case_fatality_copd","incidence_copd","remission_copd","case_fatality_dmt2","incidence_dmt2","remission_dmt2","case_fatality_dprd","incidence_dprd","remission_dprd","case_fatality_espc","incidence_espc","remission_espc","case_fatality_hanc","incidence_hanc","remission_hanc","case_fatality_ishd","incidence_ishd","remission_ishd","case_fatality_kdnc","incidence_kdnc","remission_kdnc","case_fatality_lvrc","incidence_lvrc","remission_lvrc","case_fatality_lwri","incidence_lwri","remission_lwri","case_fatality_mltm","incidence_mltm","remission_mltm","case_fatality_npls","incidence_npls","remission_npls","case_fatality_prkd","incidence_prkd","remission_prkd","case_fatality_prsc","incidence_prsc","remission_prsc","case_fatality_stmc","incidence_stmc","remission_stmc","case_fatality_strk","incidence_strk","remission_strk","case_fatality_tbalc","incidence_tbalc","remission_tbalc","case_fatality_utrc","incidence_utrc","remission_utrc"
0,"female","female_0",0,"0",0.0313404199710851,0,0.0000986701755885342,0.000000087538146661515,0.00000000163696140955558,0.0000000108976180600338,0.00000000887209418859373,0.000000103000377216741,0.0000000178863295715824,0,0,0.0000000157837058430501,0.0000000103466345204527,0.000000286741872095798,0.0000000256537692701668,0.000000187385240945702,0,0.0000131370868204496,0,0,0.0000000013198072743139,0.000000300840426129331,0.0000000388764818199305,0,0,0.0369347521992444,0.00000157666082907538,0.0000000195191667152593,0.000000074418771589619,0.000000053874809667815,0.0000546171942710853,0.000000000375687631223738,0.00551200812363154,0,0.0000000539556672545369,0.00000000287428920618878,0.00000136106214279372,0.0000000236720235529427,0.0000087240221376095,0,0.0000195225632597366,0,0,0.00000000261142104609795,0.00012509839595131,0.0000000585738766550298,0,0,0.0427772334174825,0.0846571042169474,0.0686586588264446,0.114244902269029,0.0717241394391962,0.0794125501272981,0.0511502968070094,0.211389859500776,0,0.0756958924945469,0.000100135292740539,0.0685372895163341,0.0677450835615747,0.0623191135064039,0,0.00575168968953385,0,0,0.067327502347735,0.166423237685822,0.0655951801020915,0,0.114244902269029,0.000000074418771589619,0.00000015148291345153,0.00000000376947584710442,0,0.0000828114491161218,0.000000155903902338735,0,0.00656851937779266,0.000000119420951315006,0,0.0274769228939247,0.000000140861650757038,0,0.00000000036784657366065,0.000000472968635349337,0,0.00000193637684605589,0.000181067157180773,0,0.0000107120576565645,0.0000000802663714424723,0,0,0.00000707934424881973,0,0.00465351264255533,0.0000000027414792958062,0,0.00460792494928354,0.000000406611872430791,0,0.000151649965467859,0.00000192710695830049,0,0.0801947339775888,0.0000161838413167753,0,0.056381464704537,0.0000000213867936247304,0,0.221447843986166,0.000190162333343866,0,0.00123504321432439,0.0000000034672898690347,0,0.00727558658731005,0.0019799204565086,0,0.000000200096839819129,0.000000000901226874071833,0,574.048129227843,0.00000000000243179137054806,0,0.00677136789172065,0.0000000316728930266555,0,0.0000536239409475851,0.0000751876035213403,0,0.0161674947949379,0.0000000230600987410435,0,0.000213666892960349,0.000000105332371179853,0
1,"female","female_1",0,"0",0.0330702621978092,0,0.000102889886358126,0.0000000879777271982212,0.00000000220277464814809,0.0000000138736143918541,0.0000000104344642083873,0.000000111283517805996,0.0000000206516522069523,0,0,0.0000000190798467268203,0.0000000128158264578606,0.000000294448813476503,0.0000000303018214233458,0.000000210265458938285,0,0.000013835630084044,0,0,0.00000000173175086811949,0.000000330000971316432,0.0000000445278526812698,0,0,0.0389759513861554,0.00000155634288384346,0.0000000261759676064965,0.0000000932623543201735,0.0000000622583244699725,0.0000589557117776616,0.000000000656062515893676,0.005807556281702,0,0.0000000653529759813231,0.00000000398616555702648,0.00000138854852737308,0.0000000271569453813342,0.00000877653725429713,0,0.0000217393101686301,0,0,0.00000000336218368165189,0.000131807541943559,0.0000000652334569674399,0,0,0.0451185176868197,0.0848820122615919,0.0698029624939752,0.114587397200806,0.0722947054829002,0.0795711244409186,0.0514934869178836,0.211574803209297,0,0.0758135126763299,0.000124000316626694,0.0688586868347748,0.0699216431451925,0.0626769083600625,0,0.00587998460225291,0,0,0.0686728671797098,0.16827046544462,0.0667661568976193,0,0.114587397200806,0.0000000932623543201735,0.000000178546908189795,0.00000000558856503924471,0,0.000102088895707044,0.000000193120212277904,0,0.00688561745251321,0.000000194063946156594,0,0.0276443388101766,0.000000206366414755961,0,0.000000000678899454726191,0.000000492927937730528,0,0.00000248045091272223,0.00016065438626072,0,0.0000124118702680065,0.000000178021475806691,0,0,0.0000344370476461308,0,0.00539602816838489,0.0000000036286017030005,0,0.00544346263743082,0.000000426442509685939,0,0.000185939157579817,0.00000266470897982836,0,0.0756835147142722,0.0000108406245823539,0,0.0615835432604157,0.0000000290174668564506,0,0.234778299834981,0.000129621558093867,0,0.00146544149413945,0.00000000518246038600701,0,0.00525987108966733,0.00181853000871716,0,0.000000299729712486518,0.00000000173839643662419,0,843.888890343465,0.000000000000485053888306676,0,0.00779055430254491,0.0000000446349177636814,0,0.0000675609716861613,0.0000785749543184892,0,0.0181091763619476,0.0000000336804846147491,0,0.000253542921745791,0.000000142860204701098,0
2,"female","female_2",2,"0 to 4",0.0348955834938028,0,0.000107290056510433,0.0000000884195151274256,0.0000000029641603780026,0.000000017662316226677,0.0000000122719665731337,0.000000120232776519041,0.0000000238445085767918,0,0,0.0000000230643268912192,0.0000000158742833211444,0.000000302362899160939,0.0000000357920261893105,0.00000023593941016592,0,0.0000145713172515939,0,0,0.00000000227227196545922,0.000000361988056162945,0.0000000510007483081559,0,0,0.0411299574520233,0.00000153628676974912,0.0000000351029985107257,0.000000116877322045919,0.0000000719464066733214,0.0000636388594763612,0.00000000114568058404991,0.00611895142544079,0,0.0000000791577917008569,0.0000000055281548613173,0.00000141658999412943,0.0000000311549065839404,0.00000882936849093921,0,0.0000242077641301636,0,0,0.00000000432878456197531,0.000138876505818388,0.0000000726502009246371,0,0,0.047587945166737,0.0851075178181523,0.070966337767417,0.114930918898556,0.0728698103835745,0.079730015402385,0.051838979643983,0.211759908723949,0,0.0759313156224175,0.000153553039120398,0.0691815913070149,0.0721681326982189,0.0630367574335279,0,0.00601114121049416,0,0,0.0700451156248888,0.170138196652578,0.0679580374646365,0,0.114930918898556,0.000000116877322045919,0.000000194572921259882,0.00000000683695112770581,0,0.000112950532177238,0.000000215124811545479,0,0.00705970138215432,0.000000247369065485175,0,0.0277369775038146,0.000000250122556641955,0,0.000000000984184077314922,0.000000503221686456804,0,0.00000280582990803836,0.000152059278384986,0,0.0000133839024076853,0.000000266830557989797,0,0,0.0000753445043986339,0,0.0057970008121395,0.00000000417971183313959,0,0.00594015953027438,0.000000436313679987818,0,0.000205074107531101,0.00000312966142838154,0,0.0735970166748882,0.00000889069034710515,0,0.0643569643168109,0.0000000338017809074986,0,0.241426609191456,0.000107572350663388,0,0.00159526864677532,0.00000000631197970785896,0,0.00448530838477705,0.00174403527180247,0,0.000000365942991563388,0.00000000265241914619378,0,1023.39200330727,0.000000000000236845650902148,0,0.00834105170384268,0.0000000529069844768586,0,0.0000763745790347271,0.0000803488132559784,0,0.0191698208955387,0.0000000407918858919354,0,0.000275467609363759,0.000000166132041260694,0
3,"female","female_3",0,"0",0.036821653849894,0,0.000111878403538568,0.0000000888635215337448,0.00000000398871793531274,0.0000000224856627609818,0.0000000144330519099443,0.00000012990172160696,0.0000000275309976931188,0,0,0.0000000278808935187747,0.0000000196626313401275,0.000000310489696696651,0.0000000422769681346382,0.000000264748216614033,0,0.0000153461233898888,0,0,0.00000000298150269768229,0.000000397075657934897,0.0000000584145915728377,0,0,0.0434030046693394,0.00000151648911265467,0.0000000470744968425997,0.000000146471837519016,0.0000000831420613591915,0.0000686940130707837,0.00000000200069958101626,0.00644704325378161,0,0.0000000958786634100181,0.00000000766663996602864,0.00000144519775283911,0.000000035741435224935,0.00000888251775045115,0,0.0000269565059625149,0,0,0.00000000557327545376385,0.000146324584951166,0.0000000809101945497778,0,0,0.0501925293936222,0.0853336224740353,0.0721491025048371,0.115275470440422,0.0734494902478588,0.0798892236439932,0.0521867904345781,0.211945176186295,0,0.0760493016167986,0.000190148996910177,0.0695060100006698,0.0744867989777185,0.0633986725207622,0,0.00614522334610478,0,0,0.0714447848822841,0.172026658889335,0.0691711949682343,0,0.115275470440422,0.000000146471837519016,0.000000212620406614821,0.00000000812635653599241,0,0.000124924118533416,0.000000239297869017484,0,0.00725069662724332,0.0000003147006428076,0,0.0278330815814885,0.000000302968959589986,0,0.00000000139703496491286,0.000000513719322504635,0,0.00000318454486274945,0.000144584281378608,0,0.0000144135167806003,0.000000397532161325359,0,0,0.000162429551097048,0,0.00626148951371261,0.00000000482259652832372,0,0.00644263535792718,0.00000044631509655726,0,0.000225297001131955,0.00000367174855220834,0,0.0715163370271846,0.00000731546811454228,0,0.0674182506906376,0.0000000393316416979531,0,0.248435122869031,0.0000898383119825123,0,0.00173404764928043,0.00000000772763718098621,0,0.00382698436961185,0.00167679041275971,0,0.000000445267648482138,0.00000000411787155137291,0,1241.39121727658,0.000000000000132897076983588,0,0.00895412930487156,0.0000000628508375276705,0,0.0000856688085361984,0.0000820901172763181,0,0.0202705208664145,0.0000000492714172345075,0,0.000296854707358059,0.000000193228747975664,0
4,"female","female_4",0,"0",0.038854034135357,0,0.000116662974980552,0.0000000893097575574574,0.0000000053674122647191,0.000000028626201870225,0.0000000169747029698724,0.000000140348229201708,0.000000031787437830287,0,0,0.0000000337033127856507,0.0000000243550567541395,0.000000318834923273656,0.0000000499368777057672,0.000000297074652136412,0,0.0000161621285866884,0,0,0.00000000391210139957443,0.000000435564310590012,0.0000000669061655331781,0,0,0.0458016718476821,0.00000149694658190391,0.000000063128745320911,0.000000183559982472633,0.0000000960798834393891,0.0000741507228538851,0.0000000034938174472059,0.0067927270256336,0,0.00000011613156329615,0.000000010632366466431,0.00000147438323965768,0.0000000410031783756567,0.00000893598694720318,0,0.0000300173617769874,0,0,0.00000000717554750965767,0.000154172111653864,0.0000000901093114508217,0,0,0.0529396677688569,0.0855603278208645,0.0733515798619033,0.115621054913776,0.0740337814696214,0.0800487497993013,0.0525369348425956,0.212130605738023,0,0.0761674709439028,0.000235466788759531,0.0698319500164972,0.0768799609260776,0.0637626654834411,0,0.00628229626473984,0,0,0.0728724228854317,0.173936082260569,0.0704060092350853,0,0.115621054913776,0.000000183559982472633,0.000000233007032901155,0.00000000891162071958757,0,0.000137733125782741,0.000000265819077056809,0,0.00742970385126501,0.000000401869220794636,0,0.0279730009345048,0.000000367293883992484,0,0.00000000189823434590798,0.000000525888804776653,0,0.00000360670414074828,0.000138706653543054,0,0.0000155230625099268,0.000000595115154551776,0,0,0.000343658103219108,0,0.00672130433931702,0.00000000557827636359157,0,0.00699559345128883,0.000000456418754081165,0,0.000248426252013358,0.00000430892562649497,0,0.0691292374437324,0.00000603905379036734,0,0.070612735140397,0.0000000457255380233646,0,0.255915686361136,0.000075796152886024,0,0.0018830869832147,0.00000000942170893850417,0,0.00327717696451478,0.00161627409637927,0,0.000000539006688375577,0.00000000634687047157274,0,1506.38855046717,0.0000000000000912334647797616,0,0.00960684628619397,0.0000000746153686822325,0,0.0000962670428977725,0.0000839607548506038,0,0.0214358661929576,0.0000000594948189623819,0,0.000321823632318993,0.000000225074540687293,0
5,"female","female_5",0,"0",0.0409985921530201,0,0.000121652162533952,0.0000000897582343947842,0.00000000722265020657525,0.0000000364436415428607,0.0000000199639371293931,0.00000015163482974963,0.0000000367019464778391,0,0,0.00000004074163878437,0.0000000301673148032238,0.000000327404449746479,0.0000000589846402196857,0.000000333348228255043,0,0.0000170215235350421,0,0,0.00000000513316233872585,0.000000477783678925131,0.0000000766321370367082,0,0,0.0483329013745602,0.00000147765588976179,0.0000000846581217663925,0.000000230039219389043,0.000000111030973382355,0.0000800408864465102,0.00000000610124601925487,0.00715694600276,0,0.000000140662578241559,0.0000000147453404851937,0.00000150415812169166,0.0000000470395390203298,0.00000898977800708927,0,0.0000334257714743711,0,0,0.0000000092384599488228,0.000162440508679687,0.000000100354325623897,0,0,0.0558371625685208,0.0857876354544923,0.0745740983801767,0.115967675415244,0.0746227207322441,0.0802085945031328,0.0528894285253136,0.212316197520943,0,0.0762858238886021,0.000291585070180078,0.0701594184885534,0.079350011990222,0.0641287482513415,0,0.00642242667762124,0,0,0.0743285885168924,0.175866699426033,0.0716628668723642,0,0.115967675415244,0.000000230039219389043,0.00000025609061849707,0.0000000100055474178723,0,0.000152226550636268,0.000000295549504462541,0,0.0076238010071443,0.000000512666100942563,0,0.0280579639433124,0.000000445038847948451,0,0.00000000257887066920192,0.000000541692741771524,0,0.00000407547849096417,0.000134549245495416,0,0.0000167699165210579,0.000000890175232177257,0,0,0.000709603292241146,0,0.00722562926977371,0.00000000647402933093024,0,0.00761927977197952,0.000000466513606523846,0,0.000274846664933502,0.00000506159293154119,0,0.0666759945123307,0.00000501839819991805,0,0.0737460691656667,0.00000005307120301822,0,0.263152899743227,0.0000649286962285616,0,0.00204823780591195,0.000000011520134133951,0,0.00281671241997511,0.00156504230592849,0,0.000000647910250918797,0.00000000968468867004979,0,1828.87276318338,0.0000000000000767026103884695,0,0.0103464079726866,0.0000000885805050139383,0,0.000108076924470588,0.0000857654616272604,0,0.0226627017351193,0.0000000721652368937046,0,0.000350542520766616,0.000000262062744509571,0
6,"female","female_6",0,"0",0.0432615195805391,0,0.000126854716774144,0.0000000902089632981688,0.00000000971914834070824,0.00000004639592129356,0.0000000234795734814179,0.000000163829082304656,0.0000000423762645625599,0,0,0.0000000492497915974238,0.0000000373666500400217,0.000000336204304764288,0.0000000696717124035159,0.000000374050900949137,0,0.0000179266154145452,0,0,0.00000000673534576547010,0.000000524095382236461,0.0000000877719471742961,0,0,0.051004019308548,0.00000145861379086128,0.000000113529859410009,0.00000028828746736784,0.00000012830861788056,0.0000863989352574121,0.0000000106545930203776,0.00754069402364135,0,0.000000170375394560959,0.0000000204493577897976,0.00000153453430166249,0.0000000539645539419646,0.00000904389286759644,0,0.0000372211990833065,0,0,0.000000011894443192123,0.000171152347704477,0.000000111764150777286,0,0,0.0588932431030014,0.0860155469750103,0.0758169920768762,0.116315335050735,0.0752163450109253,0.0803687583915787,0.0532442872450617,0.212501951676991,0,0.0764043607362109,0.000361077898075679,0.0704884225843487,0.0818994225153493,0.0644969328227337,0,0.00656568278400495,0,0,0.0758138518270398,0.177818745627905,0.0729421613887895,0,0.116315335050735,0.00000028828746736784,0.000000282270310749072,0.0000000115028870818708,0,0.000168184303618503,0.000000327795435417802,0,0.00782574647811055,0.000000654005903143203,0,0.0281418582108625,0.000000541242112307751,0,0.00000000350258366084335,0.000000558094574453864,0,0.00000460872517327533,0.000132296689942716,0,0.0000180531825806952,0.00000134369591400133,0,0,0.00141655765586567,0,0.00779812446260529,0.00000000754488370822443,0,0.0082956902832426,0.000000476621018914458,0,0.000301953957964606,0.00000595158588405489,0,0.0640723083254314,0.00000420974218402629,0,0.0772702030164016,0.0000000615098732998144,0,0.270969114565295,0.0000565850527683689,0,0.00222358243672854,0.0000000140690520880106,0,0.00244487517101168,0.0015238504477786,0,0.000000771934575116645,0.0000000145882714483337,0,2221.79639048172,0.0000000000000742732524951033,0,0.0111082644256225,0.000000105143945080938,0,0.000121744524656587,0.0000876484509176992,0,0.0239203200589792,0.0000000873614252093807,0,0.00038057329067329,0.000000305525019999467,0
7,"female","female_7",7,"5 to 9",0.0456493498467484,0,0.000132279762502021,0.0000000906619555765597,0.0000000130785572839588,0.0000000590660379025682,0.0000000276143111098877,0.000000177003978921611,0.0000000489278627050574,0,0,0.0000000595347179141994,0.0000000462840840930348,0.000000345240679012042,0.0000000822951109163194,0.000000419723474257716,0,0.0000188798340853228,0,0,0.00000000883760917479508,0.000000574896091677974,0.000000100531121911387,0,0,0.0538227565828685,0.00000143981708165742,0.000000152247991199507,0.000000361284758582006,0.000000148274854492412,0.0000932620357547273,0.0000000186060932589213,0.00794501821534661,0,0.000000206364588468963,0.0000000283598899893196,0.00000156552392266476,0.0000000619090480647909,0.00000909833347787467,0,0.000041447589691726,0,0,0.0000000153140003457685,0.000180331410944524,0.000000124471220560855,0,0,0.0621165890894429,0.0862440639867616,0.0770806005361387,0.116664036935472,0.0758146915750014,0.0805292421020004,0.0536015268699263,0.212687868348225,0,0.0765230817724871,0.000447132798665691,0.0708189695050045,0.0845307422155683,0.0648672312647738,0,0.00671213430437256,0,0,0.0773287942572202,0.179792458719455,0.0742442933178272,0,0.116664036935472,0.000000361284758582006,0.000000311988311490825,0.0000000135217407850536,0,0.000185942673076773,0.000000363143621965484,0,0.00804898329721083,0.000000832830014567196,0,0.0282290096545911,0.000000655430665892767,0,0.00000000475517203387867,0.000000575159209671286,0,0.00000521576408927104,0.000132035861202944,0,0.0000193787328372788,0.00000202504444344441,0,0,0.00272045209517776,0,0.00834578518759211,0.00000000883541817101627,0,0.00900141574478647,0.000000487631182788866,0,0.000332243143212932,0.00000700581810228828,0,0.0615120124317206,0.00000357620168567604,0,0.0809081717559739,0.000000071599703272712,0,0.278719671279921,0.0000502929977105282,0,0.00243034268340843,0.0000000171587761119724,0,0.00213761595703033,0.00149384520812228,0,0.000000949622475316836,0.0000000214546744790784,0,2701.16310113006,0.0000000000000775639385405804,0,0.0119480897079321,0.00000012483046713613,0,0.000137061304487096,0.0000896539102616047,0,0.0252937294891069,0.000000105867242382214,0,0.000414811634115772,0.000000354545981274471,0
8,"female","female_8",0,"0",0.0481689769947017,0,0.000137936814748047,0.0000000911172225956946,0.0000000175991408540769,0.0000000751961969120741,0.0000000324771733471719,0.000000191238381570254,0.0000000564923731149257,0,0,0.0000000719674646767173,0.0000000573296358661178,0.000000354519929565626,0.000000097205667079134,0.000000470972785778487,0,0.0000198837386113667,0,0,0.0000000115960395569938,0.00000063062092784762,0.000000115145063976909,0,0,0.0567972713807911,0.00000142126259988835,0.000000204170523461791,0.000000452765699374342,0.000000171348057814883,0.000100670306725451,0.0000000324917813094854,0.00837102185081204,0,0.000000249955948649188,0.0000000393304947995764,0.00000159713937302048,0.0000000710231059522972,0.00000915310179880703,0,0.0000461538782619215,0,0,0.0000000197166527934244,0.000190002756079005,0.00000013862302572121,0,0,0.065516355303416,0.0864731880983512,0.0783652690018005,0.117013784194014,0.0764177979902866,0.0806900462730317,0.0539611633744597,0.21287394767683,0,0.0766419872836325,0.000553696974276476,0.0711510664854113,0.0872466027239164,0.0652396557138993,0,0.0068618525143631,0,0,0.078874008867371,0.18178807919402,0.0755696703430938,0,0.117013784194014,0.000000452765699374342,0.000000345732800506202,0.000000016209517675645,0,0.000205487807521572,0.00000040284015680276,0,0.00827763309116667,0.00000105987175020471,0,0.0283025597963783,0.000000795668753626444,0,0.00000000645216204241811,0.00000059296247637342,0,0.00000590566195652346,0.000133944628479259,0,0.0000208653264930894,0.00000305439236746777,0,0,0.00498669777272583,0,0.00899698938481546,0.0000000104019274202826,0,0.00977241254329956,0.00000050023991958992,0,0.000366748604290857,0.00000824691172434816,0,0.0588524750805212,0.00000307784262387663,0,0.0847278677732269,0.0000000831978589497625,0,0.286981511048768,0.0000457054947041474,0,0.00264785906131285,0.000000020921522750076,0,0.00189067395248523,0.00147339992919197,0,0.00000120849932719141,0.0000000282880627005495,0,3286.74888702928,0.0000000000000839129982937688,0,0.0128389921514093,0.000000148364961595146,0,0.000153824237106786,0.0000917512187675044,0,0.0267893200314814,0.000000128143486000035,0,0.000451021919347907,0.000000412169679565232,0
9,"female","female_9",0,"0",0.0508276755858633,0,0.000143835795460748,0.000000091574775778385,0.000000023682257306892,0.000000095731290447595,0.0000000381963824636052,0.000000206617494185293,0.0000000652263974699657,0,0,0.0000000869965652555694,0.0000000710111739909377,0.000000364048584364048,0.000000114817777229895,0.000000528479769534526,0,0.0000209410241307424,0,0,0.0000000152154424061736,0.000000691747187702492,0.000000131883395968991,0,0,0.0599361727476075,0.00000140294722404328,0.000000273800674296166,0.000000567410536039556,0.000000198011706148294,0.000108667053792921,0.0000000567403289864317,0.00881986735932431,0,0.000000302755316348825,0.0000000545449161390284,0.00000162939329123142,0.0000000814789071515384,0.0000092081998030803,0,0.0000513945562205155,0,0,0.0000000253850325583846,0.000200192784654271,0.000000154383826024333,0,0,0.0691021975798244,0.0867029209226577,0.0796713484717253,0.117364579960289,0.0770257021214314,0.0808511715445819,0.0543232128403944,0.213060189805113,0,0.0767610775562937,0.000685658355275669,0.0714847207943865,0.0900497202243065,0.0656142183762275,0,0.0070149102794618,0,0,0.0804501005681885,0.183805850214313,0.0769187074259971,0,0.117364579960289,0.000000567410536039556,0.000000384042937606479,0.0000000197503616316408,0,0.000227103807330039,0.000000445455323663552,0,0.0084933168434579,0.00000134700390792137,0,0.0284433548464868,0.000000966764526180055,0,0.0000000087489356976214,0.000000611592162880277,0,0.00000669423837326585,0.000138088738203403,0,0.0000225084423691754,0.0000046045858100669,0,0,0.00867139941409787,0,0.00969427356622866,0.0000000123150054677864,0,0.0106259397382245,0.000000515294647167335,0,0.000403166037707251,0.00000972792288968345,0,0.0560554309968399,0.00000269128935188181,0,0.0887374229423462,0.0000000964495905409801,0,0.295371471506077,0.0000426146515883083,0,0.00289161772527685,0.0000000254805322648476,0,0.00169077107388351,0.00146444377649628,0,0.00000153546897920493,0.0000000372583652478142,0,4002.98520112856,0.0000000000000922572641641573,0,0.0138363863990417,0.000000176012354488248,0,0.000173135173552122,0.0000939800013167545,0,0.0282785834990175,0.000000155063552097114,0,0.000490154913921792,0.00000047858882006905,0
